text,position,frequency,total,percentage
aa,1,3,6,0.5
aa,2,1,6,0.17
ar,2,257,680,0.38
ro,3,42,405,0.1
on,4,48,1066,0.05
ab,1,23,132,0.17
ba,2,6,155,0.04
an,3,138,722,0.19
nd,4,47,356,0.13
do,5,6,111,0.05
on,6,79,1066,0.07
ne,7,32,412,0.08
ed,8,92,685,0.13
bc,2,3,8,0.38
be,2,2,169,0.01
er,3,77,1109,0.07
rd,4,18,129,0.14
de,5,34,487,0.07
ee,6,7,175,0.04
en,7,83,842,0.1
bi,2,4,128,0.03
il,3,70,266,0.26
li,4,113,463,0.24
it,5,74,446,0.17
ti,6,151,988,0.15
ie,7,34,284,0.12
es,8,73,933,0.08
ty,6,22,133,0.17
bl,2,3,146,0.02
le,3,88,569,0.15
bo,2,8,126,0.06
or,3,46,599,0.08
ri,4,77,558,0.14
ig,5,13,160,0.08
gi,6,7,102,0.07
in,7,114,1317,0.09
na,8,17,275,0.06
al,9,36,646,0.06
rt,4,39,226,0.17
ti,5,124,988,0.13
io,6,81,602,0.13
on,7,96,1066,0.09
ou,3,31,275,0.11
ut,4,16,182,0.09
ov,3,22,98,0.22
ve,4,80,415,0.19
br,2,2,112,0.02
ra,3,50,589,0.08
ah,4,5,21,0.24
ha,5,15,244,0.06
am,6,23,211,0.11
oa,4,6,61,0.1
ad,5,19,236,0.08
bs,2,16,48,0.33
se,3,74,466,0.16
en,4,143,842,0.17
nc,5,24,254,0.09
ce,6,40,386,0.1
nt,5,66,657,0.1
so,3,24,184,0.13
ol,4,31,281,0.11
lu,5,12,96,0.12
ut,6,9,182,0.05
te,7,111,792,0.14
el,8,9,367,0.02
ly,9,21,217,0.1
or,4,117,599,0.2
rp,5,11,36,0.31
pt,6,15,90,0.17
ti,7,169,988,0.17
io,8,127,602,0.21
on,9,136,1066,0.13
st,3,175,638,0.27
tr,4,65,353,0.18
ra,5,99,589,0.17
ac,6,36,322,0.11
ct,7,45,304,0.15
ts,8,22,272,0.08
bu,2,3,97,0.03
us,3,28,214,0.13
se,4,91,466,0.2
ac,1,83,322,0.26
ca,2,14,361,0.04
ad,3,69,236,0.29
de,4,84,487,0.17
em,5,28,223,0.13
mi,6,21,251,0.08
ic,7,59,454,0.13
cs,8,7,41,0.17
my,6,3,21,0.14
cc,2,52,63,0.83
ce,3,64,386,0.17
ep,4,25,125,0.2
pt,5,21,90,0.23
ta,6,38,380,0.1
ab,7,11,132,0.08
bl,8,14,146,0.1
le,9,21,569,0.04
an,7,44,722,0.06
nc,8,26,254,0.1
ce,9,23,386,0.06
te,6,76,792,0.1
ed,7,131,685,0.19
ng,8,85,697,0.12
ts,6,54,272,0.2
es,4,142,933,0.15
ss,5,29,257,0.11
se,6,54,466,0.12
si,6,47,359,0.13
ib,7,10,85,0.12
bi,8,3,128,0.02
il,9,6,266,0.02
li,10,6,463,0.01
it,11,4,446,0.01
ty,12,4,133,0.03
so,6,14,184,0.08
or,7,47,599,0.08
ri,8,13,558,0.02
ie,9,12,284,0.04
es,10,24,933,0.03
ry,8,17,151,0.11
ci,3,33,192,0.17
id,4,34,174,0.2
en,6,60,842,0.07
nt,7,45,657,0.07
co,3,64,575,0.11
om,4,33,271,0.12
mm,5,8,68,0.12
mo,6,8,194,0.04
od,7,6,113,0.05
da,8,6,146,0.04
at,9,52,777,0.07
te,10,22,792,0.03
ti,10,35,988,0.04
io,11,29,602,0.05
on,12,29,1066,0.03
ns,13,9,456,0.02
mp,5,12,185,0.06
pa,6,8,248,0.03
ni,8,15,270,0.06
ed,10,22,685,0.03
ny,8,3,44,0.07
yi,9,1,24,0.04
in,10,12,1317,0.01
ng,11,12,697,0.02
pl,6,7,174,0.04
li,7,28,463,0.06
is,8,17,436,0.04
sh,9,7,199,0.04
he,10,3,291,0.01
ed,11,12,685,0.02
rd,5,32,129,0.25
da,6,18,146,0.12
di,6,31,357,0.09
gl,9,1,33,0.03
ly,10,13,217,0.06
ou,4,30,275,0.11
un,5,25,230,0.11
nt,6,71,657,0.11
ta,7,21,380,0.06
ab,8,6,132,0.05
bi,9,4,128,0.03
il,10,4,266,0.02
li,11,4,463,0.01
it,12,4,446,0.01
ty,13,3,133,0.02
in,8,70,1317,0.05
ng,9,55,697,0.08
ts,7,36,272,0.13
cr,3,28,129,0.22
re,4,112,992,0.11
ed,5,106,685,0.15
it,7,45,446,0.1
ta,8,10,380,0.03
te,8,53,792,0.07
ed,9,46,685,0.07
cu,3,31,114,0.27
ur,4,46,315,0.15
cy,7,5,35,0.14
at,6,121,777,0.16
us,4,35,214,0.16
se,5,50,466,0.11
ed,6,119,685,0.17
cd,2,4,9,0.44
db,3,1,6,0.17
be,4,19,169,0.11
en,5,122,842,0.14
it,8,16,446,0.04
ty,9,11,133,0.08
ce,2,10,386,0.03
ch,2,19,312,0.06
hi,3,15,187,0.08
ie,4,54,284,0.19
ev,5,13,120,0.11
ve,6,48,415,0.12
em,7,19,223,0.09
me,8,34,429,0.08
en,9,44,842,0.05
nt,10,37,657,0.06
ts,11,10,272,0.04
vi,6,11,202,0.05
ci,2,9,192,0.05
id,3,33,174,0.19
ds,4,34,115,0.3
ck,2,2,146,0.01
kn,3,3,21,0.14
no,4,13,132,0.1
ow,5,21,128,0.16
wl,6,2,9,0.22
le,7,34,569,0.06
dg,9,2,26,0.08
ge,10,2,274,0.01
cm,2,1,3,0.33
